timestamp,user_id,event_type,event_value,device_id,ip_address,location,auth_result,resource_type,resource_name
2025-01-18 17:56:00,user_11,login,1,dev_11,10.0.3.180,Singapore,success,system,auth_service
2025-01-25 07:35:00,user_41,file_access,54,dev_41,10.0.4.248,United States,success,file,confidential_report
2025-01-17 03:15:00,user_25,file_access,229,dev_25,10.0.0.99,Australia,success,file,confidential_report
2025-01-03 01:02:00,user_14,login,1,dev_14,10.0.2.66,United States,success,system,auth_service
2025-01-01 13:00:00,user_57,login,1,dev_57,10.0.3.130,India,success,system,auth_service
2025-01-23 23:25:00,user_43,login,1,dev_43,10.0.5.61,United States,success,system,auth_service
2025-01-22 18:44:00,user_53,login,1,dev_53,10.0.5.233,Australia,success,system,auth_service
2025-01-09 03:59:00,user_26,file_access,199,dev_26,10.0.5.173,Japan,success,file,confidential_report
2025-01-21 14:43:00,user_48,login,1,dev_48,10.0.0.210,Germany,success,system,auth_service
2025-01-09 20:35:00,user_07,login,1,dev_07,10.0.2.3,Canada,success,system,auth_service
2025-01-21 22:33:00,user_58,login,1,dev_58,10.0.1.73,Canada,success,system,auth_service
2025-01-21 00:14:00,user_56,password_reset,1,dev_56,10.0.3.67,Japan,success,system,auth_service
2025-01-07 12:34:00,user_35,login,1,dev_35,10.0.4.47,Germany,success,system,auth_service
2025-01-04 23:17:00,user_57,login,1,dev_57,10.0.3.159,India,success,system,auth_service
2025-01-30 07:45:00,user_47,failed_login,1,dev_47,10.0.5.201,Canada,failure,system,auth_service
2025-01-01 08:01:00,user_39,login,1,dev_39,10.0.3.115,Germany,success,system,auth_service
2025-01-04 07:32:00,user_20,file_access,85,dev_20,10.0.4.41,United Kingdom,success,file,confidential_report
2025-01-11 05:32:00,user_03,password_reset,1,dev_03,10.0.0.73,Germany,success,system,auth_service
2025-01-15 22:03:00,user_33,login,1,dev_33,10.0.2.247,Germany,success,system,auth_service
2025-01-10 14:32:00,user_55,login,1,dev_55,10.0.3.211,United States,success,system,auth_service
2025-01-28 09:55:00,user_59,phishing_click,1,dev_59,10.0.1.107,United States,success,system,auth_service
2025-01-07 11:26:00,user_39,file_access,79,dev_39,10.0.2.21,Singapore,success,file,confidential_report
2025-01-03 13:52:00,user_09,login,1,dev_09,10.0.1.225,United States,success,system,auth_service
2025-01-07 13:31:00,user_17,login,1,dev_17,10.0.4.108,India,success,system,auth_service
2025-01-03 22:03:00,user_46,failed_login,1,dev_46,10.0.2.2,Canada,failure,system,auth_service
2025-01-28 07:09:00,user_57,login,1,dev_57,10.0.1.31,Canada,success,system,auth_service
2025-01-19 16:27:00,user_08,file_access,131,dev_08,10.0.5.32,Japan,success,file,confidential_report
2025-01-18 03:59:00,user_20,login,1,dev_20,10.0.3.30,United States,success,system,auth_service
2025-01-13 13:11:00,user_32,file_access,26,dev_32,10.0.1.81,Australia,success,file,confidential_report
2025-01-08 18:01:00,user_39,failed_login,1,dev_39,10.0.4.6,Germany,failure,system,auth_service
2025-01-02 19:05:00,user_50,login,1,dev_50,10.0.0.175,Australia,success,system,auth_service
2025-01-10 10:38:00,user_46,file_access,210,dev_46,10.0.4.40,United States,success,file,confidential_report
2025-01-06 11:19:00,user_55,file_access,148,dev_55,10.0.2.126,United Kingdom,success,file,confidential_report
2025-01-10 07:46:00,user_03,login,1,dev_03,10.0.3.221,Singapore,success,system,auth_service
2025-01-01 12:08:00,user_14,file_access,220,dev_14,10.0.5.240,United Kingdom,success,file,confidential_report
2025-01-06 11:01:00,user_37,login,1,dev_37,10.0.0.249,United Kingdom,success,system,auth_service
2025-01-01 11:18:00,user_28,login,1,dev_28,10.0.5.175,Australia,success,system,auth_service
2025-01-28 13:51:00,user_26,login,1,dev_26,10.0.1.85,India,success,system,auth_service
2025-01-07 12:14:00,user_50,login,1,dev_50,10.0.0.107,Canada,success,system,auth_service
2025-01-15 21:40:00,user_26,file_access,220,dev_26,10.0.2.175,Singapore,success,file,confidential_report
2025-01-21 08:01:00,user_17,file_access,15,dev_17,10.0.1.18,Japan,success,file,confidential_report
2025-01-27 22:23:00,user_10,login,1,dev_10,10.0.0.177,Singapore,success,system,auth_service
2025-01-03 22:37:00,user_60,phishing_click,1,dev_60,10.0.2.104,Singapore,success,system,auth_service
2025-01-07 01:18:00,user_42,password_reset,1,dev_42,10.0.1.250,Singapore,success,system,auth_service
2025-01-17 12:56:00,user_06,file_access,32,dev_06,10.0.0.51,India,success,file,confidential_report
2025-01-17 04:38:00,user_16,login,1,dev_16,10.0.3.235,Canada,success,system,auth_service
2025-01-26 03:17:00,user_25,password_reset,1,dev_25,10.0.5.182,Japan,success,system,auth_service
2025-01-21 11:13:00,user_40,login,1,dev_40,10.0.1.131,United Kingdom,success,system,auth_service
2025-01-04 08:50:00,user_38,file_access,146,dev_38,10.0.0.206,Australia,success,file,confidential_report
